track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7lGKEWMXVWWTt3X71Bv44I,0.389,0.665,0.0,-6.169,1.0,0.0644,0.178,0.000732,0.116,0.199,117.055,193546.0
7j56HrjR9cGzvekvZY3Faz,0.636,0.836,8.0,-3.004,1.0,0.0427,0.00609,0.000157,0.0828,0.715,139.956,193253.0
5W8YXBz9MTIDyrpYaCg2Ky,0.589,0.89,4.0,-3.719,0.0,0.0603,0.000481,0.00082,0.201,0.692,90.598,199906.0
6Up545NUflOiXo8cEraH49,0.494,0.632,5.0,-6.89,1.0,0.0342,0.682,0.0,0.0869,0.0797,147.873,274693.0
64BbK9SFKH2jk86U3dGj2P,0.458,0.795,0.0,-3.265,1.0,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373.0
0815caqt2Lytro5EIzMufT,0.459,0.427,7.0,-7.734,1.0,0.0267,0.114,0.0,0.168,0.354,139.902,195493.0
1G391cbiT3v3Cywg8T7DM1,0.595,0.717,0.0,-4.803,1.0,0.0295,0.0779,0.00274,0.108,0.547,88.969,215906.0
0gmbgwZ8iqyMPmXefof8Yf,0.446,0.764,10.0,-5.042,1.0,0.033,0.00135,0.0,0.099,0.543,172.094,223840.0
2oaK4JLVnmRGIO9ytBE1bt,0.7,0.742,5.0,-6.777,0.0,0.0716,0.0722,0.0199,0.11,0.197,91.959,302000.0
5r5cp9IpziiIsR6b93vcnQ,0.871,0.701,5.0,-5.594,0.0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,198440.0
1jJci4qxiYcOHhQR247rEU,0.451,0.931,9.0,-3.871,1.0,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840.0
6XcfKZvJio9Z0fQy11GnNX,0.666,0.728,7.0,-5.808,1.0,0.0419,0.00175,4.26e-06,0.0429,0.51,122.996,204878.0
2a1iMaoWQ5MnvLFBDv4qkf,0.419,0.383,4.0,-11.782,1.0,0.0256,0.0724,0.0176,0.0896,0.35,87.568,257480.0
7x8dCjCr0x6x2lXKujYD34,0.433,0.959,9.0,-4.04,1.0,0.0431,0.000917,0.0,0.028,0.365,172.984,269373.0
6ZOBP3NvffbU4SZcrnt1k6,0.545,0.865,11.0,-5.708,0.0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,233933.0
0nkzd3yNniB767zSDDdLZ3,0.434,0.939,4.0,-2.983,0.0,0.0593,0.0425,0.0,0.491,0.569,159.932,209493.0
6PypGyiu0Y2lCDBN1XZEnP,0.467,0.324,2.0,-10.451,1.0,0.0255,0.615,0.0248,0.118,0.166,94.301,320266.0
6TfBA04WJ3X1d1wXhaCFVT,0.55,0.917,0.0,-3.159,1.0,0.0638,0.00428,0.0,0.197,0.601,126.115,177826.0
6WmIyn2fx1PKQ0XDpYj4VR,0.472,0.745,4.0,-5.297,1.0,0.0356,0.000607,2.74e-05,0.0957,0.0631,180.06,252925.0
4BggEwLhGfrbrl7JBhC8EC,0.736,0.811,9.0,-4.17,0.0,0.081,0.00132,0.000142,0.107,0.609,103.502,216733.0
40LQiUUUKXVGyNs09lHVjW,0.476,0.736,2.0,-5.38,1.0,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,261853.0
6GG73Jik4jUlQCkKg9JuGO,0.643,0.849,2.0,-5.428,1.0,0.0526,0.0371,0.0,0.058,0.903,162.152,165853.0
1UqhkbzB1kuFwt2iy4h29Q,0.534,0.721,11.0,-7.307,0.0,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,249520.0
10Nmj3JCNoMeBQ87uw5j8k,0.556,0.913,0.0,-2.36,1.0,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,282160.0
3zwmW1gM4E8FlHXV5nE16u,0.423,0.845,11.0,-3.509,0.0,0.0559,0.143,5.07e-06,0.213,0.317,116.602,278973.0
20I8RduZC2PWMWTDCZuuAN,0.277,0.663,4.0,-8.821,0.0,0.0377,0.000409,0.00051,0.136,0.527,104.561,237026.0
0QnONzv3TvHAWk294h6DaQ,0.622,0.692,7.0,-6.97,1.0,0.0276,0.363,0.000158,0.193,0.774,112.053,195466.0
35YyxFpE0ZTOoqFx5bADW8,0.516,0.342,4.0,-9.785,1.0,0.0342,0.832,0.579,0.0857,0.167,128.378,255386.0
7nnWIPM5hwE3DaUBkvOIpy,0.645,0.792,4.0,-7.34,0.0,0.036,0.0562,0.0121,0.119,0.666,90.565,232453.0
1sTsuZTdANkiFd7T34H3nb,0.557,0.8,10.0,-8.477,1.0,0.0601,0.00132,0.0012,0.0906,0.582,135.47,245373.0
6PwjJ58I4t7Mae9xfZ9l9v,0.497,0.97,10.0,-4.851,0.0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,197200.0
2VSbEXqs6NbNiZSTcHlIDR,0.32,0.88,2.0,-6.035,1.0,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,294600.0
56sk7jBpZV0CD31G9hEU3b,0.553,0.853,8.0,-3.668,1.0,0.0339,0.000684,0.0,0.126,0.506,122.023,231400.0
5OQsiBsky2k2kDKy2bX2eT,0.465,0.919,4.0,-4.025,1.0,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,235293.0
3YuaBvuZqcwN3CEAyyoaei,0.614,0.568,7.0,-5.477,0.0,0.0276,0.00797,0.0,0.0997,0.516,107.849,293960.0
5FZxsHWIvUsmSK1IAvm2pp,0.366,0.94,1.0,-5.119,0.0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,255626.0
4ElNxglBjcrASiGn58t9Jm,0.597,0.417,2.0,-7.952,1.0,0.0502,0.395,8.35e-06,0.128,0.263,143.839,229760.0
27L8sESb3KR79asDUBu8nW,0.774,0.75,11.0,-4.927,0.0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,197986.0
70wYA8oYHoMzhRRkARoMhU,0.467,0.988,11.0,-3.313,1.0,0.112,0.000152,0.0484,0.28,0.321,130.433,220426.0
1f2V8U1BiWaC9aJWmpOARe,0.451,0.97,0.0,-4.938,1.0,0.107,0.0264,0.00355,0.102,0.198,122.444,216933.0
55mJleti2WfWEFNFcBduhc,0.567,0.714,9.0,-8.512,0.0,0.0302,0.0012,0.417,0.186,0.191,107.441,403533.0
07MDkzWARZaLEdKxo6yArG,0.773,0.47,2.0,-7.93,1.0,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680.0
2nLtzopw4rPReszdYBJU6h,0.496,0.863,9.0,-4.153,1.0,0.0381,0.0046,0.0,0.639,0.243,110.018,185586.0
7BoobGhD4x5K96Me0hqC8Q,0.855,0.463,3.0,-7.454,1.0,0.0367,0.217,1.77e-05,0.347,0.866,102.931,122772.0
0eu4C55hL6x29mmeAjytzC,0.7,0.49,0.0,-5.187,1.0,0.076,0.186,0.0,0.117,0.569,79.982,161803.0
7oVEtyuv9NBmnytsCIsY5I,0.585,0.972,9.0,-4.45,0.0,0.0534,0.0143,0.0,0.0707,0.585,110.006,230253.0
0d28khcov6AiegSCpG5TuT,0.818,0.705,6.0,-6.679,1.0,0.177,0.00836,0.00233,0.613,0.772,138.559,222640.0
2DlHlPMa4M17kufBvI2lEN,0.417,0.934,7.0,-3.908,0.0,0.119,0.000278,0.0015,0.132,0.287,127.066,210240.0
4Yf5bqU3NK4kNOypcrLYwU,0.554,0.978,4.0,-3.554,1.0,0.131,0.111,0.0,0.0731,0.594,135.095,162600.0
2oNYsdCasRRlz1shXFAz7D,0.546,0.98,9.0,-3.02,0.0,0.0619,0.0154,0.0,0.31,0.478,120.037,205120.0
6Wx88Mv6b9ofjKMKkdwOJd,0.493,0.808,5.0,-3.365,0.0,0.0362,0.000235,0.0,0.0983,0.38,117.971,268613.0
0snQkGI5qnAmohLE7jTsTn,0.413,0.873,8.0,-4.151,1.0,0.0536,0.000264,0.00249,0.204,0.48,116.68,218933.0
5anCkDvJ17aznvK5TED5uo,0.58,0.916,3.0,-4.358,0.0,0.0387,0.000297,0.0259,0.126,0.683,118.004,305906.0
4UEo1b0wWrtHMC8bVqPiH8,0.554,0.949,2.0,-4.928,1.0,0.0787,0.000318,9.98e-05,0.2,0.233,129.984,374453.0
4e9eGQYsOiBcftrWXwsVco,0.364,0.922,0.0,-4.217,0.0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,235053.0
1MTQHCpraD4S8g5PAFKzoj,0.595,0.489,7.0,-6.66,1.0,0.0271,0.497,0.0,0.119,0.0902,120.315,269973.0
0faXHILILebCGnJBPU6KJJ,0.392,0.964,10.0,-4.441,0.0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,200546.0
0EYOdF5FCkgOJJla8DI2Md,0.538,0.981,1.0,-2.688,0.0,0.14,0.00662,0.0,0.219,0.711,101.414,255466.0
6HveTIMynTMzTc5L0TcS20,0.514,0.243,3.0,-12.348,1.0,0.0288,0.752,0.00054,0.0822,0.388,171.816,260800.0
