mb_recording_id,spotify_track_id
e5c561c3-153b-4d4f-a84c-c1509b03ea12,7gAHDwN4iqkjFozSODtWBn
5fff3079-0ae2-4905-9ee5-3438471182fd,59qrUpoplZxbIZxk6X0Bm3
49be48e3-cfef-47d7-b45b-f3acde6a49c8,2neMQfiGrFXt2vKgvV8Yid
068a9f1f-41d3-48ea-8430-4c1d66f95fb2,7wbnC3JV0LvBR6We7fXJOb
fd14ed7f-7a99-4222-b7f5-f4507aab9262,2iJuuzV8P9Yz0VSurttIV5
bb0e81e9-5343-4f9f-bb63-ee00ab29fa45,70hkUdHxJi9ILUwEDG1eNL
a539a31e-986b-435a-b9ae-bc47ab325a05,5MDQNJ7SZTytJwCbWKqJDL
2f90fbc7-195e-4059-93e6-3f10c3cc3ca3,7zmwzcRKOrdN3tTFSun7ye
35674b67-591c-43fe-b58c-4b0b260887ff,4WSc4jv49Kj3ZqcCUiWH9D
5b29d8cd-a159-4d58-9b0a-1083cac271b7,5wDeYEOMGyOEKjlo7bbKsE
1cb8aae0-4e59-41ae-8664-54b7713438a9,3XHwEwbZszoNuScJtfrecd
019a1002-4e3a-4742-984d-bdced0e3095c,5wBK7kzV4ebnS3qAu7lWKL
85205a68-e21f-47ac-933b-e2aea9b09ffd,1x6k0OEtfABK65G63Ndqej
c24ffb4e-4a7c-4b80-8383-01eae20f4de8,6RYynPLHZLnpwjejfGWpQl
14ee0af4-9382-4096-9a71-ca49e1b4d066,1mnqraQ8oV8MX92rdOFLWW
234c0712-9715-4ffe-a317-abd61b38a4d3,7r0EUONfPUZ8SD1vu4ro27
59b67021-0222-4147-afcf-4979f48fab25,6Y71cMJ51ghNyMawNXDt9J
b15383b4-a8a4-46c8-a44f-3ef045258bb3,6AHvm8J1gpZlY3IkyreaFB
279164ea-b710-48b2-b62c-44710a17fe3d,0vYKTdvjn8Wx45y6TJaXEW
ae3cd4fd-809d-45dc-89b6-d1835b1cb838,3CN29wOXcmVzm04Nf531Wu
e42af3fd-240c-4528-a722-bd442730f865,3wUX7HpXS382s1DHTRouVk
f9cdb0a5-26f1-40cd-bfd9-4b27af78be5d,7MntXdVHuwTTkKedcVVkVY
96027a4f-f990-4be8-a9c7-e74422a04498,42qGitYDiZRgGPjzdCYwti
bcee93e0-4d22-486a-9db4-08cea07e2f48,60YvP4wOY6WyYXhIpDlE5v
12ed8782-df27-4c05-87ea-5523193d3c5b,041ABl7CuQnTuBYmuzzsRm
e0c62f2d-26cd-4f42-bcd5-70e80bc52547,1K76YJvninD8pEy1Noh2To
7f322344-7b30-468b-b047-b0ae9bc600b5,020b0QxseQbcMTPKV49qRm
5b2c162c-6f0b-440d-88db-f9bf340c284e,1Qd3CUBmJMBOmapxPYY6pZ
df13dd7c-af7e-406a-ad03-f32e0cc6aa5b,3YvWI3uLVvPjnWNgfgXht0
08c31205-9fa1-4b31-b96b-680b74748513,31s2mbxcx4LX1EtZg1fUvA
dafeb411-0ed6-45ee-9714-4bb70a964797,15TUyesDSp0RH7WRw00JW8
425ac795-7785-4149-880c-fd0eb86894bd,4lFO4X6ef61SR6M1KXkSRN
0be06c1d-5e64-41cc-8626-cdafa6d1ddc2,4eUL9d7SZiqrW45NBxeFCv
6f5d9d26-4336-43ae-b497-7bb8a1b0975f,4W0W2Qa1iDHQJUFq7Voc1G
50ec1f16-0371-4556-87a5-92f493185065,2MDa3Kd91MPSSCig38thCP
91cc1ad5-0343-431d-bdf5-dc9544745584,7MlEmf2a7vrvXJ1v0AHFoe
97fc5304-3c5b-4710-9e91-c10a1ae48906,00zqTWtvCWvDtAqoLRl6Sy
5c22bba8-67f5-453c-a09a-bd1bf5924ee6,3U2oOnr4LPnx2aYsRJw15l
2e016705-94da-4c41-b644-45d2c56a44d8,7Kr1yAXJKg7uYp95R92GVf
423d95e7-f293-4dd2-9ae0-5d8ff124c96b,6Y2kW1mdHE0znPCjtOdt5m
ca7f5f74-3d77-4b8c-b051-ab194ca129d5,2CFSC8OPCYEmcEc6BPLkz8
0eb5e09c-a6de-4711-ae0f-58cda28658e7,2rTYgHxgcndkUrRoU7x0Sv
d2e44b1a-4819-4e16-862d-63fc2d585ac5,1LnATvtXXioQNPeKTT4x9T
8d222349-27f3-4433-a513-a0582f30324c,027269uzraETHuoG6aMs6a
6593b798-ac7f-434c-92a6-fa2628c130b8,2UZoYhVfHAeCx234JxEY5m
8c35b1ee-988b-4f05-b7d5-0c7ec5b0358a,7HxJgi0wLX58NrhrcViwjg
fb0a6648-d8ad-4a6a-a2cf-ca32aa9d4f1b,62BxlOvQCjLNQA5ARA4Dug
d3370cae-7433-46f5-9294-8ed9f9a1cc63,6jGyDvL1Rf4XfwTb25o1HN
34a95a6e-0402-4761-9986-9d959becff58,6OPTe8dcjq6KWBw460aNfJ
4599939a-ad74-4b1f-aba6-8465ee1d3db9,20RHP0KD0gDz7xzmzZCGBo
afa66283-7916-482c-8a26-df1be4667400,457p7UH7hoHrbA2iI4PSCA
292f07ba-5d5f-4d8e-bc59-419cbbae5a5c,120BvxQsMS1M41PdBClcxa
6c729f6b-da79-466b-9f1d-0984a8f323cc,7x20mTTlLE066Mo32u7BF6
02e46e73-cc8c-45e1-a8da-d64e4f3b4117,2gVTFOO0vTL0Ss3QZtQmAs
