id,releases
adab38b8-d540-4950-bc1e-5a4d7768e781,XW
2aa0ab84-0ecf-4af0-a3ba-e08555982e1a,US
35f8b159-a583-4574-93b8-6f7da2165528,US
35f8b159-a583-4574-93b8-6f7da2165528,CL
3b5d0806-9821-4657-be1d-8663eeede130,JP
3b5d0806-9821-4657-be1d-8663eeede130,XW
3b5d0806-9821-4657-be1d-8663eeede130,US
3b5d0806-9821-4657-be1d-8663eeede130,GB
0d3f2ea9-e3c7-440d-852d-2bfb10a7a467,XW
c40711c6-13dd-4cac-b81a-b4d9af9de82f,US
92ca2d28-2ca5-4508-b326-e12cf560d2c0,XW
92ca2d28-2ca5-4508-b326-e12cf560d2c0,GB
7f18b069-faf4-45a0-a7c2-256c07656771,XE
7f18b069-faf4-45a0-a7c2-256c07656771,US
9c7c16e9-9e54-42fe-b599-fd4aa9477d12,US
4e4332d9-3ef3-412e-8101-47513ac90102,JP
4e4332d9-3ef3-412e-8101-47513ac90102,CA
4e4332d9-3ef3-412e-8101-47513ac90102,US
4e4332d9-3ef3-412e-8101-47513ac90102,GB
4e4332d9-3ef3-412e-8101-47513ac90102,DE
4e4332d9-3ef3-412e-8101-47513ac90102,ZA
78f69005-4fe2-49a8-8311-b5c54ce4c97c,US
71a6ac57-239d-47b5-8b4a-08c505c35c82,US
afefd7d2-bfa2-4beb-9973-3fdff5074546,US
afefd7d2-bfa2-4beb-9973-3fdff5074546,JP
afefd7d2-bfa2-4beb-9973-3fdff5074546,GB
e2eaffe7-2c08-4c54-8ab8-e4469edfa7d3,CZ
8ad07f1a-8dde-47db-a252-eb5e1d52044e,GB
8ad07f1a-8dde-47db-a252-eb5e1d52044e,XE
8ad07f1a-8dde-47db-a252-eb5e1d52044e,US
1b8c9b04-ef4b-4d97-a68d-4a7fe5dc9e1a,US
92510008-9b03-4327-af09-b86f15299bcb,US
55bd2ac8-367e-4020-a9c1-ec4acc8f1af1,US
fe9e0725-4caa-42ff-99a1-7fe6b08e373a,SE
c1786927-a94f-445e-be97-47cd8301fb8c,XW
c9cb9c03-2baa-4968-89f9-fcba23b31d92,US
e61cc36d-d028-4bf6-ad5c-66df91ba91e6,US
e61cc36d-d028-4bf6-ad5c-66df91ba91e6,XW
06eb7f96-c8ea-4ca1-9f33-07ee91abde04,GB
ab87fcbf-e003-4d2f-8877-09dcecec0448,GB
b0d99b58-d215-42c1-a07d-b6012093b6d4,US
a22170d1-ea61-429d-abdc-a3fd3adbeac4,US
5cf7f3b5-6837-482c-8f13-72f9fafaba66,GB
5cf7f3b5-6837-482c-8f13-72f9fafaba66,US
5cf7f3b5-6837-482c-8f13-72f9fafaba66,PL
5cf7f3b5-6837-482c-8f13-72f9fafaba66,AU
5cf7f3b5-6837-482c-8f13-72f9fafaba66,CA
5cf7f3b5-6837-482c-8f13-72f9fafaba66,DE
d05257c7-17ef-41a4-84e3-899494b9c4cd,US
d05257c7-17ef-41a4-84e3-899494b9c4cd,DE
ad086875-16b1-4543-965f-b162a614f88c,US
ad086875-16b1-4543-965f-b162a614f88c,XW
d49b2258-7596-43b1-be82-35dd6b808033,US
a2f71ee7-570c-4073-9702-05ecbf461be7,NL
b4ece4ff-9866-4f65-b376-86179a5d70e0,XW
b4ece4ff-9866-4f65-b376-86179a5d70e0,DE
b4ece4ff-9866-4f65-b376-86179a5d70e0,SE
b4ece4ff-9866-4f65-b376-86179a5d70e0,US
b4ece4ff-9866-4f65-b376-86179a5d70e0,GB
c0b0220b-6174-46c8-b5f3-6d4f0014239b,US
a9b88dd5-89ac-42bc-96cf-b17856b210df,XW
a9b88dd5-89ac-42bc-96cf-b17856b210df,FR
a9b88dd5-89ac-42bc-96cf-b17856b210df,US
8c55d7e2-3071-4814-bf3e-39cce5e2efb8,NL
8c55d7e2-3071-4814-bf3e-39cce5e2efb8,AT
8c55d7e2-3071-4814-bf3e-39cce5e2efb8,IT
8c55d7e2-3071-4814-bf3e-39cce5e2efb8,IE
8c55d7e2-3071-4814-bf3e-39cce5e2efb8,XW
8c55d7e2-3071-4814-bf3e-39cce5e2efb8,ZA
8c55d7e2-3071-4814-bf3e-39cce5e2efb8,US
8c55d7e2-3071-4814-bf3e-39cce5e2efb8,XE
8c55d7e2-3071-4814-bf3e-39cce5e2efb8,DZ
8c55d7e2-3071-4814-bf3e-39cce5e2efb8,DE
8c55d7e2-3071-4814-bf3e-39cce5e2efb8,GB
8c55d7e2-3071-4814-bf3e-39cce5e2efb8,AF
c8f23322-23c1-4d06-b314-a1561cfd92ae,US
26a36db8-b774-4738-8a5f-422cc704a846,US
a670efbb-3c06-46b3-bfe3-35646fbade6d,US
a670efbb-3c06-46b3-bfe3-35646fbade6d,XE
7798b055-ed70-42bc-a1c8-f69e78afc964,IT
be4d4297-1e1c-4a2b-98e1-97c5892cb1c5,DE
b028db0d-af2e-4d3c-bcea-c94dfb374b8e,CA
b028db0d-af2e-4d3c-bcea-c94dfb374b8e,US
76aa7f1c-efa5-4954-996e-208422bb2289,DE
b04d92c0-953e-47fd-ae01-c5f7a2c4c292,US
7f53d60a-b9bb-43a1-9496-e44e624cd7d2,US
01d437f3-9260-4e31-93da-235c24efff45,XE
01d437f3-9260-4e31-93da-235c24efff45,JP
01d437f3-9260-4e31-93da-235c24efff45,GB
01d437f3-9260-4e31-93da-235c24efff45,CA
01d437f3-9260-4e31-93da-235c24efff45,US
e9d8b27e-6946-4349-9004-b9434d761b8a,XW
a6544a14-0bc6-4dcc-9c7b-eb209793ee21,JP
c7777f93-2d42-456b-bbea-c5b31b9ac928,US
17da10ce-903f-4548-b99c-2cd8c1a74793,GB
17da10ce-903f-4548-b99c-2cd8c1a74793,CA
30ae9163-c851-4491-b913-b33a6907d052,US
cb033e08-d404-40eb-b3b9-0f4efcd1c63f,US
2738c2b1-f0d8-4ac5-acf5-64633efba7d7,US
444c033c-170f-4736-9c99-8f68c4365a8c,GB
8afbc636-4f65-4962-9652-63acf71db3e7,GB
388f6d4e-ed3a-4301-a200-58f5c2fc56a7,US
c8dd2d1a-27ee-40bd-a2e0-36444b62d429,GB
6dce5cfe-7ce9-49be-88fa-2aacf4804aa0,AU
b8573500-636b-428a-a542-e7c6557e43ac,IT
97ed9d9a-9cb5-47ec-b239-d28d783d987d,US
e5c561c3-153b-4d4f-a84c-c1509b03ea12,LU
49be48e3-cfef-47d7-b45b-f3acde6a49c8,US
068a9f1f-41d3-48ea-8430-4c1d66f95fb2,XE
fd14ed7f-7a99-4222-b7f5-f4507aab9262,DE
bb0e81e9-5343-4f9f-bb63-ee00ab29fa45,AU
35674b67-591c-43fe-b58c-4b0b260887ff,US
5b29d8cd-a159-4d58-9b0a-1083cac271b7,US
5b29d8cd-a159-4d58-9b0a-1083cac271b7,ZA
1cb8aae0-4e59-41ae-8664-54b7713438a9,GB
019a1002-4e3a-4742-984d-bdced0e3095c,DE
85205a68-e21f-47ac-933b-e2aea9b09ffd,GB
c24ffb4e-4a7c-4b80-8383-01eae20f4de8,XW
c24ffb4e-4a7c-4b80-8383-01eae20f4de8,US
14ee0af4-9382-4096-9a71-ca49e1b4d066,GB
234c0712-9715-4ffe-a317-abd61b38a4d3,US
234c0712-9715-4ffe-a317-abd61b38a4d3,BR
234c0712-9715-4ffe-a317-abd61b38a4d3,GB
59b67021-0222-4147-afcf-4979f48fab25,NL
59b67021-0222-4147-afcf-4979f48fab25,XE
59b67021-0222-4147-afcf-4979f48fab25,DE
59b67021-0222-4147-afcf-4979f48fab25,GB
59b67021-0222-4147-afcf-4979f48fab25,US
59b67021-0222-4147-afcf-4979f48fab25,AT
b15383b4-a8a4-46c8-a44f-3ef045258bb3,US
279164ea-b710-48b2-b62c-44710a17fe3d,DE
279164ea-b710-48b2-b62c-44710a17fe3d,US
279164ea-b710-48b2-b62c-44710a17fe3d,NL
279164ea-b710-48b2-b62c-44710a17fe3d,XW
ae3cd4fd-809d-45dc-89b6-d1835b1cb838,US
e42af3fd-240c-4528-a722-bd442730f865,US
bcee93e0-4d22-486a-9db4-08cea07e2f48,IT
12ed8782-df27-4c05-87ea-5523193d3c5b,US
7f322344-7b30-468b-b047-b0ae9bc600b5,US
7f322344-7b30-468b-b047-b0ae9bc600b5,AU
5b2c162c-6f0b-440d-88db-f9bf340c284e,BR
df13dd7c-af7e-406a-ad03-f32e0cc6aa5b,XW
08c31205-9fa1-4b31-b96b-680b74748513,US
dafeb411-0ed6-45ee-9714-4bb70a964797,GB
425ac795-7785-4149-880c-fd0eb86894bd,CA
425ac795-7785-4149-880c-fd0eb86894bd,US
425ac795-7785-4149-880c-fd0eb86894bd,AF
425ac795-7785-4149-880c-fd0eb86894bd,AU
425ac795-7785-4149-880c-fd0eb86894bd,FR
0be06c1d-5e64-41cc-8626-cdafa6d1ddc2,US
6f5d9d26-4336-43ae-b497-7bb8a1b0975f,US
50ec1f16-0371-4556-87a5-92f493185065,DE
50ec1f16-0371-4556-87a5-92f493185065,CA
91cc1ad5-0343-431d-bdf5-dc9544745584,HK
91cc1ad5-0343-431d-bdf5-dc9544745584,JP
91cc1ad5-0343-431d-bdf5-dc9544745584,XW
91cc1ad5-0343-431d-bdf5-dc9544745584,US
97fc5304-3c5b-4710-9e91-c10a1ae48906,AU
5c22bba8-67f5-453c-a09a-bd1bf5924ee6,DE
2e016705-94da-4c41-b644-45d2c56a44d8,US
423d95e7-f293-4dd2-9ae0-5d8ff124c96b,US
ca7f5f74-3d77-4b8c-b051-ab194ca129d5,CA
0eb5e09c-a6de-4711-ae0f-58cda28658e7,NL
d2e44b1a-4819-4e16-862d-63fc2d585ac5,US
d2e44b1a-4819-4e16-862d-63fc2d585ac5,GB
8d222349-27f3-4433-a513-a0582f30324c,US
8d222349-27f3-4433-a513-a0582f30324c,AL
8d222349-27f3-4433-a513-a0582f30324c,XW
6593b798-ac7f-434c-92a6-fa2628c130b8,US
8c35b1ee-988b-4f05-b7d5-0c7ec5b0358a,DK
34a95a6e-0402-4761-9986-9d959becff58,US
4599939a-ad74-4b1f-aba6-8465ee1d3db9,US
afa66283-7916-482c-8a26-df1be4667400,JP
292f07ba-5d5f-4d8e-bc59-419cbbae5a5c,GB
6c729f6b-da79-466b-9f1d-0984a8f323cc,US
02e46e73-cc8c-45e1-a8da-d64e4f3b4117,US
82eda1a1-903e-457b-b9e5-91f15894cb25,GR
126925e4-b560-4a2f-a1a0-7fc541d6068b,ZA
2ffc9678-e12f-48b5-b60a-4d6c26889ac7,GB
9ed43719-0f7b-4cf6-8e73-e3006d18efd5,XW
9ed43719-0f7b-4cf6-8e73-e3006d18efd5,US
f59756da-8cff-4d23-978c-dcb3b3dbb84c,XW
3b4fcdcd-cad3-435b-a516-2b2351f89cfa,US
3b4fcdcd-cad3-435b-a516-2b2351f89cfa,XE
ec17b3c3-014d-4064-ad66-691bb2640149,US
ad5e7418-3faf-4b7d-a0ef-de22e0477ccd,IT
d940a01c-b3e9-4f0d-b370-d491036e5f35,GB
e183874c-1e5d-4fed-a5cb-9346fff81abc,GB
d25d3aed-0e07-41c7-9c8b-7396bc76e978,XW
cd0e7d78-9681-4081-b38d-4fbe9e87e012,DK
12956527-81a0-4377-a15e-bfbaefb6b53e,US
44fb472f-a17a-4274-b05c-9bc00d187e8c,XW
00302b35-7d85-4606-8881-1d967a1b511b,XW
00302b35-7d85-4606-8881-1d967a1b511b,AU
00302b35-7d85-4606-8881-1d967a1b511b,GB
00302b35-7d85-4606-8881-1d967a1b511b,DE
00302b35-7d85-4606-8881-1d967a1b511b,US
016fd477-8749-42f9-a2bd-edc0ca481ed1,SE
20800f63-a496-4557-8c88-edbe227e9b7e,DZ
20800f63-a496-4557-8c88-edbe227e9b7e,XW
27bc6f6c-e413-46a6-be2a-09527fc9408d,US
0f27eaa7-c9f5-4fe7-ab50-98c43f9fdecf,XW
0f27eaa7-c9f5-4fe7-ab50-98c43f9fdecf,CA
0f27eaa7-c9f5-4fe7-ab50-98c43f9fdecf,GB
0f27eaa7-c9f5-4fe7-ab50-98c43f9fdecf,US
29f6ae52-ef5a-4536-a230-cd39c5e61a8c,BE
b7032bab-9755-451e-8492-7211b3b94021,XW
b7032bab-9755-451e-8492-7211b3b94021,AF
5feb816f-8bae-4920-b0b9-b28fb77a8222,GB
3ad720f3-cf4a-4746-8ef6-56082a8284e6,US
c8d9863d-c7e0-4fc4-b41c-10badaafd929,XW
c8d9863d-c7e0-4fc4-b41c-10badaafd929,IT
c8d9863d-c7e0-4fc4-b41c-10badaafd929,FR
c8d9863d-c7e0-4fc4-b41c-10badaafd929,US
812d7f6c-16d2-405a-ae1a-6fcbb8962269,US
621964a4-a570-423e-9e7e-3696cb14134c,US
