artist_id,country
0ErzCpIMyLcjPiwT4elrtZ,XW;XW
0EyQK4yQkyCubak3DZydiV,DK
0EyuKHE1AeE9lWUF8mzKVp,US
0F7x26QGWIimVu4XnOiXkA,XW
0FDW3axHactZo8HU0OnNVy,XW;AU;GB;DE;US
0FFuvdY7fuiuTmHN9unYoz,SE
0FOWNUFHPnMy0vOw1siGqi,DZ;XW;DZ;XW
0FcmRWJUfnCuwoXE1H2b0H,US
0FrpdcVlJQqibaz5HfBUrL,XW;CA;GB;US
0GByy3DcfbQwDvXGCWmzv9,BE
0GM7qgcRCORpGnfcN2tCiB,XW;AF;XW;AF
0GQ9ZDxcQHx0gjAP2TioBH,GB
0GVO1kqJHVxOarPgex9K15,US
0GWCNkPi54upO9WLlwjAHd,XW;IT;FR;US;XW;IT;FR;US
0GX5PlFlvOiEdNvA7YHJzs,US
0Grjlu7ncIuCaSYvCs9fcd,US
0Gw3a3BkWLwsMLFbOBmo6Q,US;XW;NL;XE
0H0yrKDty3I7pPrNUSH3wW,GB;US
0HMKwxrCuqDVae1bWpthmE,US
0HNGrIbq1ZNO2mTp3tMW4L,GB
0HU0U9kdXEHZVxUNbuQe8S,US;US
0HkcYmcjrBR3SCw9Ld5VZk,XW;US;XW;US
0HnvwS4WOXhjvKwQRceHMe,GB;US;XW;AU;XE
0HosDiKX3VWIIjtSkP8cfC,GB;US
0IBc6Ac1cKD2yP84TTmJij,XW
0IZKN6jW1R51jYXBw6FC2V,DE
0IdYRFTswLdsGwSnzOaGNF,CA;AU;US;XE
0IecGJbdBeYSOVtSPRehh5,US;XW;NL
0IekLXmUEHqD3nEFpwB3kE,GB;US;XW;DE;XE;JP;NL;DK
0IsiGzCZIshsWOTI9iN7ie,US
0J2Ej2rMQyqaUX3G6MUISw,FR;US;XW
0J4hhNPKGkF96BvCakh2Ab,US
0JDkhL4rjiPNEp92jAgJnS,NL
0Je74SitssvJg1w4Ra2EK7,AU;GB
0Jeckitay8SbvKwqAzWuYH,DE
0Jn5s2a3pv3RxDEKOptkUI,GB
0JxChc2w5fwTGbXKfc4cRd,US
0JxWz42OKiQ0V3KzA4mDF1,AF;US
0K7VN4aHxHcEb7PqkfoIVA,US
0KF35OGFXQttk0yWReabtG,US;US
0KMLfCXYb3Dhf1hLpu8cVd,GB;US
0KlSW3j5fUEfej47FOrBMr,US;US
0KqE3rHdX1G6MkvG1lSlbK,US
0Kx6hOtUkMFFFQhz1zjIij,US
0L0XA2oh77ZfPZiaBxw96D,NL
0L1e8CdX4rdh54b8mIxMqB,US
0L6Gwm0JDrgIQJfjarWSUR,CA;US
0L8ExT028jH3ddEcZwqJJ5,AF;AF
0L9xkvBPcEp1nrhDrodxc5,GB
0LQrsY8CFvCyUAqAtiiVxw,US
0LcJLqbBmaGUft1e9Mm8HV,GB
0LhHRmSd1EYM5QdNeNnCoQ,GB
0LthCv77K8NqLKr8B6266a,US
0LunUqJo6K99sNFMHbML69,GB;US;XW
0LyOADBjj28cbvJWTXUEGA,US;JP;AU;FR;XW;XE;US;JP;AU;FR;XW;XE
0LyfQWJT6nXafLPZqxe9Of,NL
0MBIKH9DjtBkv8O3nS6szj,US
0MHgLfmQdutffmvWe5XBTN,GB;GB
0Ma8KxtvoIDSU5fHtuTS9F,XW
0MgiMwoxbip7wL5pgp8NRx,US
0MlOPi3zIDMVrfA9R04Fe3,US;US
0MponVSpW81oLvJZ53vYZH,XE;XE
0N5PyKJzS3M1XNlaCL7bbE,US;US
0NCXrh1XOnHNp4mM0JUFJw,US;CA;AF;XW;AR
0NCuPxLIaNGhlqF86xvid7,US
0NHSh9S0VQiFfsEFbvhRXN,GB;US
0NRN3tnDVDspHMCfyu2ZwT,IT;US
0NWbwDZY1VkRqFafuQm6wk,XW;XW
0NZla8oecHR7sQ4rb6lW81,GB
0NbfKEOTQCcwd6o7wSDOHI,US
0NnCgUxhtWt1yBtpDyvFQf,US
0NqxUSg57tX1o1WG7VU1Vp,XE
0NyzfcGDZZ6GM25EBG9BYK,GB;US;GB
0O0lrN34wrcuBenkqlEDZe,ZA
0O834tNw0PiiuYgj24yq0b,FR
0OIKoNmvKEdHkhhNfrRGP6,US
0OOhKEKPDRy8UrlykRWG2i,US
0OTnx2X2FDXeewcm72lavT,US
0OUXTnqjvTg4iZ7Lhq6vv7,XW;NL;CA;FR;US;JP;XE
0OarfYzJPCi3lAVZ4nhTTd,FR
0OllCB8jre2XE6LnWXQKp4,GB
0OtigLoCgLYvXnMxbE5qH5,DE;DE
0OuSnRyi1OkLPkR4AqzJwi,GB
0PEfbjTw85CAN5G0lz9n3p,GB
0PFQjFlud3TtWQkP2Q07ku,US;XW
0PGtMx1bsqoCHCy3MB3gXA,SG
0PMLvzy0RefowM1e2YWhWe,US
0PMu4intNIukZnnOKqRaH7,DE
0PcIlEZa7rreM7729ot05g,US;GB
0QRgfCLzSR9GyCjXboWQTA,DE
0QYN2PJUwq49cW3T75KXCG,GB
0QZvxyFZXcweramX6WnRN7,US
0Qjjtgd9bDbPilXT7YCgZk,CZ
0R6Oa8qhUXdLRFL8Hiytgn,US
0RBsn08bagbVECVD8FLbSq,GB
0RBvkTqxOcHRfpoPTeCA7f,US
0REMf7H0VP6DwfZ9MbuWph,RU;US;XW;IT;GB
0RHOoF3Gk8xeWJyozvvvle,US;BE
0RKP52f5PNDCRZ9Luq2Sr7,US;US
0RrDVgg5a8CuIshK0Wnpjv,XW
0S1SjYebdSaiMpI8xSW2Wb,GB;XW;US;XE;DE;JP;RU;AR;CA;AF;FR
0SD4eZCN4Kr0wQk56hCdh2,JP
0SDMI2Gkjubw3ol5p5fKtX,US
0SdiiPkr02EUdekHZJkt58,US
0SgDfSfWqkZMW96aT2oQZ1,GB;US
0Sq7oGrYEe0BDmb13wgjOO,US
0Suv0tRrNrUlRzAy8aXjma,DE
0SvD7DL5CQTbcrMtns1US8,US
0SwO7SWeDHJijQ3XNS7xEE,AT;FR
0SwVn4s8PdhY9XQhi9SetC,CA
0T5OJgMVjKIX3b3W3ekqOl,CA;US
0T9qvoaKvS10jwngQlUXDD,US;DE
0TF2NxkJZPQoX1H53rEFM1,CA
0TGsWvnbtExsbGUSWtXENE,XW
0TImkz4nPqjegtVSMZnMRq,CA;US
0TcYeHEK9sBtv7xPbKhzHz,JP
0TeVa4xdLB8vdzjsvKH6Ri,MX
0ThrQemMA2B8xxusTUl8IM,GB
0TnOYISbd1XYRBk9myaseg,JP;XW;US;MX;AT;DE;FR;CA;XE;JP;XW;US;MX;AT;DE;FR;CA;XE;XW
0To5Xn0CmOwl9Vg4Tys4Ov,US
0TorzrcTerTn7l5q9LVjmt,AF
0TqIPD4IS1w4e30R38B3vj,JP;SG;GB;US
0Ttph0pOZiPNTD3y2wUUb6,US;XW;DE;FR
0TvxYJwhD6rqKvdMxgtVsO,NL
0Ty63ceoRnnJKVEYP0VQpk,XW;US;GB;XE;CA;NL
0U2mUJuJkthantMGmsJygP,US;US
0UUErweJscAbuxMmVo8MON,US
0UURFoulYuDKwDc45LwlgA,US
0UWZUmn7sybxMCqrw9tGa7,CO;US
0UeVxCKyBypjQvDCT889zt,NZ
0Ug6OsFk2B0mLvXrpmpRs6,US
0Upmz8QvuLAkKAfRlJYWTL,AU
0VKTLKamj4IH8OfQbUL0kq,AU
0VRj0yCOv2FXJNP47XQnx5,XW;XW;DZ;XW;XW;DZ
0VYyfOLiaaL7zBNEP1lqmU,DE;US
0VxAPHwWkvVRCb5zSHI4Ag,US;XW
0W498bDDNlJIrYMKXdpLHA,ZA
0WOxhx4hikIsyF3CRPLC8W,XW;XW
0WZ7IgzdjPvwFdjDjjuZm7,GB
0WbeGaye1H1KUdYWzYlTmk,DE
0WgyCbru4tXnMsbTmX4mFw,US;XW;US
0WjcdSKSTiNtfM4uQDIPDm,US
0WjnlObkDedRrSBTC9N3lW,US
0WnxcAN2X6IKcdaZpi5X1K,JP
0WsQby2bU6kzZcvikYRdms,NL;US
0WxOgeRxUt0MwPrI7A5atQ,DE
0X2BH1fck6amBIoJhDVmmJ,US;US
